accession,species
GCF_900078775.1,Mycobacterium aurum_A
GCF_001907675.1,Mycobacterium paraffinicum
GCF_001665835.1,Mycobacterium colombiense_A
GCF_013466425.1,Mycobacterium vicinigordonae
GCF_010727945.1,Mycobacterium cookii
GCF_002116635.1,Mycobacterium szulgai
GCF_003408705.1,Mycobacterium uberis
GCF_900133565.1,Mycobacterium abscessus subsp. abscessus
GCF_015499795.1,Mycobacterium abscessus subsp. abscessus
GCF_017175725.1,Mycobacterium abscessus subsp. abscessus
GCF_900137795.1,Mycobacterium abscessus subsp. abscessus
GCF_900132835.1,Mycobacterium abscessus subsp. abscessus
GCF_900131555.1,Mycobacterium abscessus subsp. bolletii
GCF_002013835.1,Mycobacterium abscessus subsp. bolletii
GCF_900134105.1,Mycobacterium abscessus subsp. bolletii
GCF_900132715.1,Mycobacterium abscessus subsp. bolletii
GCF_900130515.1,Mycobacterium abscessus subsp. bolletii
GCF_900140305.1,Mycobacterium abscessus subsp. massiliense
GCF_900133585.1,Mycobacterium abscessus subsp. massiliense
GCF_900138325.1,Mycobacterium abscessus subsp. massiliense
GCF_900131935.1,Mycobacterium abscessus subsp. massiliense
GCF_002142785.1,Mycobacterium abscessus subsp. massiliense
